"","Package","Built"
"95","base","3.4.3"
"96","boot","3.4.3"
"97","class","3.4.3"
"98","cluster","3.4.3"
"99","codetools","3.4.3"
"100","compiler","3.4.3"
"101","datasets","3.4.3"
"102","foreign","3.4.3"
"103","graphics","3.4.3"
"104","grDevices","3.4.3"
"105","grid","3.4.3"
"106","KernSmooth","3.4.3"
"107","lattice","3.4.3"
"108","MASS","3.4.3"
"109","Matrix","3.4.3"
"110","methods","3.4.3"
"111","mgcv","3.4.3"
"112","nlme","3.4.3"
"113","nnet","3.4.3"
"114","parallel","3.4.3"
"115","rpart","3.4.3"
"116","spatial","3.4.3"
"117","splines","3.4.3"
"118","stats","3.4.3"
"119","stats4","3.4.3"
"120","survival","3.4.3"
"121","tcltk","3.4.3"
"122","tools","3.4.3"
"123","translations","3.4.3"
"124","utils","3.4.3"
