"","Package","LibPath","Version","Priority","Built"
"assertthat","assertthat","C:/Users/dag/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"backports","backports","C:/Users/dag/Documents/R/win-library/3.4","1.1.2",NA,"3.4.3"
"base64enc","base64enc","C:/Users/dag/Documents/R/win-library/3.4","0.1-3",NA,"3.4.1"
"BH","BH","C:/Users/dag/Documents/R/win-library/3.4","1.65.0-1",NA,"3.4.1"
"bindr","bindr","C:/Users/dag/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"bindrcpp","bindrcpp","C:/Users/dag/Documents/R/win-library/3.4","0.2",NA,"3.4.3"
"bitops","bitops","C:/Users/dag/Documents/R/win-library/3.4","1.0-6",NA,"3.4.1"
"broom","broom","C:/Users/dag/Documents/R/win-library/3.4","0.4.3",NA,"3.4.3"
"caTools","caTools","C:/Users/dag/Documents/R/win-library/3.4","1.17.1",NA,"3.4.3"
"cellranger","cellranger","C:/Users/dag/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"cli","cli","C:/Users/dag/Documents/R/win-library/3.4","1.0.0",NA,"3.4.3"
"clipr","clipr","C:/Users/dag/Documents/R/win-library/3.4","0.4.0",NA,"3.4.3"
"clisymbols","clisymbols","C:/Users/dag/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"colorspace","colorspace","C:/Users/dag/Documents/R/win-library/3.4","1.3-2",NA,"3.4.3"
"crayon","crayon","C:/Users/dag/Documents/R/win-library/3.4","1.3.4",NA,"3.4.3"
"curl","curl","C:/Users/dag/Documents/R/win-library/3.4","3.1",NA,"3.4.3"
"DBI","DBI","C:/Users/dag/Documents/R/win-library/3.4","0.7",NA,"3.4.3"
"dbplyr","dbplyr","C:/Users/dag/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"debugme","debugme","C:/Users/dag/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"desc","desc","C:/Users/dag/Documents/R/win-library/3.4","1.1.1",NA,"3.4.3"
"devtools","devtools","C:/Users/dag/Documents/R/win-library/3.4","1.13.4",NA,"3.4.3"
"dichromat","dichromat","C:/Users/dag/Documents/R/win-library/3.4","2.0-0",NA,"3.4.1"
"digest","digest","C:/Users/dag/Documents/R/win-library/3.4","0.6.14",NA,"3.4.3"
"dplyr","dplyr","C:/Users/dag/Documents/R/win-library/3.4","0.7.4",NA,"3.4.3"
"enc","enc","C:/Users/dag/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"evaluate","evaluate","C:/Users/dag/Documents/R/win-library/3.4","0.10.1",NA,"3.4.3"
"forcats","forcats","C:/Users/dag/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"fs","fs","C:/Users/dag/Documents/R/win-library/3.4","1.1.0",NA,"3.4.3"
"ggplot2","ggplot2","C:/Users/dag/Documents/R/win-library/3.4","2.2.1",NA,"3.4.3"
"gh","gh","C:/Users/dag/Documents/R/win-library/3.4","1.0.1",NA,"3.4.3"
"git2r","git2r","C:/Users/dag/Documents/R/win-library/3.4","0.21.0",NA,"3.4.3"
"glue","glue","C:/Users/dag/Documents/R/win-library/3.4","1.2.0",NA,"3.4.3"
"gtable","gtable","C:/Users/dag/Documents/R/win-library/3.4","0.2.0",NA,"3.4.3"
"haven","haven","C:/Users/dag/Documents/R/win-library/3.4","1.1.1",NA,"3.4.3"
"here","here","C:/Users/dag/Documents/R/win-library/3.4","0.1",NA,"3.4.3"
"highr","highr","C:/Users/dag/Documents/R/win-library/3.4","0.6",NA,"3.4.3"
"hms","hms","C:/Users/dag/Documents/R/win-library/3.4","0.4.1",NA,"3.4.3"
